Froehlich,,
Scene,Number,Dynamic
beerfest_lightshow_02_reconstruction_update_2015,188,0
bistro_01,151,0
bistro_02,648,0
bistro_03,170,1
carousel_fireworks_01,439,0
carousel_fireworks_02,258,0
carousel_fireworks_03,186,0
carousel_fireworks_04,208,0
carousel_fireworks_05,174,0
carousel_fireworks_07,146,0
carousel_fireworks_08,339,0
cars_closeshot,414,0
cars_fullshot,442,0
cars_longshot,820,0
fireplace_01,410,0
fireplace_02,461,0
fishing_longshot,834,0
hdr_testimage,480,0
poker_fullshot,600,0
poker_travelling_slowmotion,1947,0
showgirl_01,776,0
showgirl_02,341,0
Techniclolr_dataset,,
Balloon_1920x1080p_25_hf_709,202,0
Market3_1920x1080p_50_hf_709,402,0
S08_BalloonFestival_1920x1080p_24_hf_709_ct2020_444,204,0
S10_EBU_04_Hurdles_1920x1080p_50_hf_709_ct2020_444,500,1
S11_EBU_06_Starting_1920x1080p_50_hf_709_ct2020_444,500,0
